"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"TDF","Templeton Dragon Fund, Inc.","21.49","$738.56M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/tdf",
"EMF","Templeton Emerging Markets Fund","16.1","$289.95M","1987","n/a","n/a","http://www.nasdaq.com/symbol/emf",
"TEI","Templeton Emerging Markets Income Fund, Inc.","11.43","$548.62M","1993","n/a","n/a","http://www.nasdaq.com/symbol/tei",
"GIM","Templeton Global Income Fund, Inc.","6.685","$896.75M","1988","n/a","n/a","http://www.nasdaq.com/symbol/gim",
"TPX","Tempur Sealy International, Inc.","59.01","$3.18B","2003","Consumer Durables","Home Furnishings","http://www.nasdaq.com/symbol/tpx",
"TS","Tenaris S.A.","30.52","$18.01B","n/a","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/ts",
"THC","Tenet Healthcare Corporation","16.8","$1.69B","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/thc",
"TNC","Tennant Company","69.25","$1.23B","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/tnc",
"TEN","Tenneco Inc.","53.4","$2.89B","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/ten",
"TVC","Tennessee Valley Authority","25.3404","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/tvc",
"TVE","Tennessee Valley Authority","24.91","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/tve",
"TDC","Teradata Corporation","32.35","$4.18B","n/a","Technology","Computer Manufacturing","http://www.nasdaq.com/symbol/tdc",
"TER","Teradyne, Inc.","33.32","$6.63B","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/ter",
"TEX","Terex Corporation","37.6","$3.67B","n/a","Capital Goods","Construction/Ag Equipment/Trucks","http://www.nasdaq.com/symbol/tex",
